get_requests,counters_based,no_counters
15,0,0
20,0,1
25,1,1
30,2,1
35,2,1
40,2,1
45,2,1
50,2,2
55,2,2
60,2,2
65,4,2
70,4,2
75,5,2
80,5,2
85,5,3
90,5,3
95,5,3
100,5,3
105,5,3
110,5,3
115,5,3
120,5,3
125,6,4
130,7,4
135,7,4
140,7,4
145,7,4
150,7,4
155,8,5
160,8,6
165,8,6
170,8,6
175,8,7
180,8,7
185,8,7
190,8,7
195,8,7
200,8,8
205,8,8
210,8,8
215,9,8
220,9,9
225,9,11
230,9,11
235,9,11
240,10,11
245,11,11
250,11,11
255,11,11
260,11,11
265,12,11
270,12,11
275,12,13
280,12,13
285,12,13
290,13,13
295,13,14
300,14,15
305,14,15
310,15,15
315,16,17
320,16,18
325,16,18
330,18,18
335,18,18
340,18,18
345,19,18
350,20,18
355,20,19
360,20,19
365,20,19
370,20,20
375,20,20
380,20,23
385,20,23
390,20,23
395,20,23
400,20,23
405,20,23
410,20,24
415,20,24
420,21,24
425,21,24
430,22,24
435,24,24
440,24,24
445,24,24
450,26,24
455,26,24
460,26,24
465,26,25
470,27,25
475,27,27
480,27,28
485,27,28
490,27,29
495,28,30
500,29,30
505,29,30
510,31,30
515,31,30
520,32,31
525,33,31
530,33,31
535,33,31
540,33,32
545,33,32
550,33,32
555,33,32
560,33,32
565,33,32
570,33,32
575,33,33
580,33,33
585,33,33
590,34,33
595,34,34
600,35,34
605,35,34
610,35,36
615,35,36
620,35,37
625,35,37
630,36,37
635,38,37
640,39,37
645,39,37
650,39,37
655,39,38
660,39,38
665,39,38
670,40,39
675,40,39
680,42,39
685,42,39
690,42,39
695,42,40
700,43,40
705,43,40
710,44,40
715,44,40
720,44,40
725,44,40
730,45,40
735,45,41
740,45,43
745,45,43
750,46,43
755,47,43
760,48,43
765,48,45
770,48,45
775,48,46
780,50,46
785,50,47
790,50,47
795,50,47
800,50,48
805,50,48
810,50,50
815,50,50
820,50,50
825,50,50
830,50,50
835,50,50
840,50,51
845,50,52
850,50,53
855,51,53
860,51,53
865,52,53
870,52,53
875,53,53
880,53,53
885,53,53
890,53,53
895,53,53
900,53,54
905,53,54
910,53,55
915,55,55
920,55,55
925,56,55
930,57,55
935,57,55
940,57,55
945,57,55
950,58,55
955,59,55
960,59,55
965,59,55
970,59,55
975,59,55
980,59,55
985,59,55
990,59,56
995,59,56
1000,59,56
1005,59,56
1010,59,57
1015,59,57
1020,59,57
1025,60,57
1030,60,57
1035,60,57
1040,60,57
1045,60,57
1050,61,57
1055,61,57
1060,62,58
1065,63,58
1070,63,59
1075,64,59
1080,64,59
1085,64,60
1090,64,61
1095,65,61
1100,65,61
1105,66,61
1110,67,62
1115,68,62
1120,69,63
1125,69,64
1130,70,64
1135,70,64
1140,71,64
1145,71,64
1150,71,64
1155,71,64
1160,71,64
1165,71,65
1170,71,65
1175,72,66
1180,73,67
1185,73,68
1190,73,68
1195,73,68
1200,73,68
1205,73,68
1210,73,70
1215,73,73
1220,73,73
1225,73,75
1230,73,76
1235,75,76
1240,75,76
1245,77,77
1250,79,77
1255,79,77
1260,79,78
1265,79,78
1270,79,78
1275,79,78
1280,80,79
1285,81,79
1290,82,79
1295,82,80
1300,84,80
1305,84,80
1310,86,80
1315,86,80
1320,86,80
1325,87,82
1330,87,83
1335,87,84
1340,87,84
1345,87,84
1350,89,86
1355,90,86
1360,90,86
1365,90,87
1370,91,87
1375,91,88
1380,91,88
1385,91,88
1390,93,89
1395,93,89
1400,93,91
1405,95,91
1410,95,91
1415,98,91
1420,98,91
1425,98,91
1430,98,91
1435,98,92
1440,98,93
1445,98,94
1450,98,94
1455,98,94
1460,98,94
1465,98,95
1470,99,95
1475,99,95
1480,100,96
1485,100,97
1490,100,98
1500,100,99
1505,100,99
1510,101,99
1515,101,99
1520,101,100
1525,103,101
1530,104,101
1535,104,101
1540,104,101
1545,105,101
1550,106,101
1555,108,103
1560,108,103
1565,108,103
1570,108,103
1575,108,103
1580,110,104
1585,110,105
1590,110,105
1595,110,105
1600,110,105
1605,110,105
1610,111,105
1615,111,105
1620,111,105
1625,111,105
1630,113,105
1635,114,106
1640,116,107
1645,116,107
1650,116,108
1655,117,111
1660,117,111
1665,118,112
1670,122,112
1675,123,113
1680,123,113
1685,123,113
1690,124,114
1695,126,115
1700,126,115
1705,126,117
1710,126,117
1715,127,117
1720,128,118
1725,128,118
1730,128,122
1735,128,122
1740,128,122
1745,129,123
1750,131,123
1755,131,124
1760,131,124
1765,132,124
1770,132,124
1775,132,124
1780,133,124
1785,134,124
1790,134,125
1795,134,126
1800,134,127
1805,134,128
1810,135,131
1815,136,134
1820,137,134
1825,138,134
1830,138,134
1835,139,134
1840,140,134
1845,140,136
1850,141,137
1855,141,139
1860,141,140
1865,141,141
1870,143,141
1875,144,142
1880,144,142
1885,144,144
1890,145,144
1895,146,144
1900,146,144
1905,146,144
1910,146,145
1915,146,145
1920,146,145
1925,147,146
1930,147,147
1935,147,147
1940,147,148
1945,147,149
1950,147,150
1955,147,151
1960,147,151
1965,148,151
1970,149,151
1975,149,153
1980,149,153
1985,149,153
1990,149,154
1995,150,154
2000,150,155
2005,152,157
2010,154,157
2015,156,157
2020,157,157
2025,158,158
2030,158,158
2035,158,159
2040,159,160
2045,160,161
2050,160,162
2055,160,162
2060,160,162
2065,161,162
2070,161,162
2075,161,162
2080,162,163
2085,162,163
2090,162,163
2095,162,164
2100,162,164
2105,162,165
2110,162,165
2115,162,167
2120,163,167
2125,163,167
2130,164,169
2135,164,173
2140,165,176
2145,167,177
2150,167,179
2155,168,182
2160,168,182
2165,168,183
2170,168,183
2175,169,183
2180,170,183
2185,170,183
2190,171,183
2195,173,185
2200,175,185
2205,176,185
2210,176,187
2215,177,189
2220,177,191
2225,178,194
2230,178,196
2235,178,197
2240,180,198
2245,183,200
2250,183,200
2255,186,200
2260,187,200
2265,188,200
2270,189,200
2275,189,201
2280,190,203
2285,190,203
2290,191,204
2295,191,204
2300,192,206
2305,192,206
2310,192,208
2315,192,208
2320,192,209
2325,192,210
2330,192,211
2335,192,211
2340,192,213
2345,193,215
2350,194,216
2355,194,216
2360,195,216
2365,196,218
2370,196,220
2375,197,222
2380,197,222
2385,197,223
2390,199,224
2395,199,224
2400,199,227
2405,201,227
2410,202,228
2415,202,231
2420,202,231
2425,202,231
2430,202,231
2435,202,232
2440,202,233
2445,202,234
2450,202,236
2455,206,237
2460,208,237
2465,208,238
2470,210,238
2475,211,238
2480,211,239
2485,212,239
2490,212,240
2495,212,240
2500,213,240
2505,215,241
2510,215,244
2515,215,247
2520,217,249
2525,219,252
2530,220,253
2535,222,254
2540,222,254
2545,223,256
2550,226,256
2555,227,257
2560,230,262
2565,231,263
2570,233,264
2575,235,265
2580,237,266
2585,238,267
2590,240,268
2595,240,269
2600,242,270
2605,243,270
2610,243,271
2615,243,271
2620,243,271
2625,245,273
2630,245,273
2635,246,273
2640,247,274
2645,249,274
2650,250,274
2655,252,275
2660,253,275
2665,254,275
2670,254,276
2675,255,278
2680,256,279
2685,258,279
2690,259,279
2695,260,279
2700,260,280
2705,262,280
2710,263,281
2715,264,282
2720,264,284
2725,265,284
2730,267,285
2735,268,285
2740,269,286
2745,271,287
2750,271,287
2755,272,287
2760,273,288
2765,273,289
2770,274,289
2775,277,292
2780,278,294
2785,279,295
2790,282,297
2795,283,298
2800,283,298
2805,283,298
2810,284,299
2815,284,301
2820,285,
2825,288,
2830,290,
2835,291,
2840,291,
2845,294,
2850,296,
2855,297,
2860,299,
2865,299,
2870,299,
2875,299,
2880,299,
2885,301,
2890,304,
2895,304,
2900,305,
2905,305,
2910,305,
2915,308,
2920,308,
2925,308,
2930,310,
2935,310,
2940,313,
2945,317,
2950,319,
2955,322,
2960,325,
2965,326,
2970,326,
2975,326,
2980,328,
2985,330,
2990,330,
2995,330,
3000,331,
3005,331,
3010,334,
3015,334,
3020,334,
3025,335,
3030,335,
3035,335,
3040,336,
3045,336,
3050,336,
3055,336,
3060,336,
3065,336,
3070,336,
3075,336,
3080,336,
3085,336,
3090,336,
3095,336,
3100,336,
3105,337,
3110,337,
3115,337,
3120,338,
3125,338,
3130,338,
3135,339,
3140,339,
3145,339,
3150,339,
3155,341,
3160,341,
3165,342,
3170,342,
3175,342,
3180,343,
3185,343,
3190,343,
3195,343,
3200,343,
3205,344,
3210,345,
3215,346,
3220,346,
3225,346,
3230,346,
3235,346,
3240,346,
3245,347,
3250,349,
3255,350,
3260,350,
3265,350,
3270,350,
3275,350,
3280,351,
3285,352,
3290,353,
3295,354,
3300,354,
3305,355,
3310,358,
3315,359,
3320,361,
3325,363,
3330,365,
3335,365,
3340,366,
3345,367,
3350,368,
3355,368,
3360,368,
3365,370,
3370,374,
3375,375,
3380,375,
3385,375,
