gets,10M,20M,30M,40M,50M
15,0,0,0,0,0
20,0,0,0,0,0
25,0,0,1,0,1
30,0,0,1,1,2
35,0,1,1,1,2
40,0,1,1,1,2
45,0,1,2,1,2
50,1,1,2,1,2
55,1,1,2,2,2
60,1,2,2,3,2
65,1,2,2,3,4
70,2,2,2,3,4
75,3,2,2,3,5
80,3,2,2,3,5
85,3,2,2,3,5
90,4,2,2,3,5
95,4,2,3,3,5
100,4,3,3,3,5
105,4,3,3,3,5
110,4,4,3,3,5
115,6,4,3,3,5
120,6,5,4,3,5
125,6,6,4,3,6
130,7,6,4,4,7
135,7,7,4,5,7
140,7,8,4,5,7
145,10,8,4,5,7
150,10,8,4,5,7
155,10,8,4,5,8
160,10,8,4,5,8
165,11,8,5,5,8
170,11,8,6,5,8
175,11,8,6,5,8
180,11,8,8,5,8
185,11,9,9,5,8
190,13,10,9,5,8
195,14,11,11,5,8
200,14,11,11,6,8
205,15,11,11,6,8
210,15,11,12,6,8
215,15,12,12,6,9
220,16,12,12,6,9
225,16,12,12,6,9
230,16,12,13,8,9
235,16,14,13,10,9
240,17,14,13,10,10
245,17,14,13,10,11
250,17,14,16,11,11
255,17,14,17,11,11
260,17,15,17,11,11
265,17,15,17,11,12
270,18,16,18,13,12
275,19,16,18,14,12
280,19,16,18,16,12
285,19,16,19,16,12
290,19,16,19,16,13
295,20,16,19,17,13
300,21,17,19,18,14
305,21,18,21,18,14
310,21,18,22,18,15
315,22,19,22,20,16
320,23,19,22,20,16
325,23,19,22,20,16
330,23,21,22,20,18
335,23,21,23,20,18
340,23,21,23,20,18
345,24,22,23,20,19
350,24,23,23,20,20
355,25,24,23,20,20
360,25,24,23,20,20
365,25,24,23,20,20
370,26,24,23,20,20
375,26,24,24,20,20
380,26,24,24,21,20
385.001,26,24,24,21,20
390,26,24,25,21,20
395,26,24,25,21,20
400,26,26,27,22,20
405,26,27,27,23,20
410,27,28,27,23,20
415,27,28,27,23,20
420,27,29,27,24,21
425,27,29,27,24,21
430,28,29,28,25,22
435,28,29,28,25,24
440,28,29,30,26,24
445,29,31,31,26,24
450,29,31,31,26,26
455,29,31,32,26,26
460,29,32,33,26,26
465,29,33,33,27,26
470,29,34,33,27,27
475,29,34,33,27,27
480,29,34,33,29,27
485,30,34,33,29,27
490,31,34,34,29,27
495,31,34,34,29,28
500,31,34,34,29,29
505,31,34,34,29,29
510,32,35,34,29,31
515,33,35,35,29,31
520,35,35,35,30,32
525,36,36,35,30,33
530,38,37,36,30,33
535,38,38,36,31,33
540,38,38,36,31,33
545,39,38,36,31,33
550,40,39,37,31,33
555,40,39,37,31,33
560,42,39,38,31,33
565,43,39,38,31,33
570,45,39,38,31,33
575,46,39,38,31,33
580,49,40,39,31,33
585,51,40,39,31,33
590,51,41,40,33,34
595,53,41,40,34,34
600,53,42,41,34,35
605,56,42,41,35,35
610,58,42,41,35,35
615,60,42,42,36,35
620,60,42,42,36,35
625,62,43,42,36,35
630,62,43,42,36,36
635,62,43,42,37,38
640,62,43,43,38,39
645,63,44,43,39,39
650,64,44,43,39,39
655,64,44,43,39,39
660,64,44,43,41,39
665,65,45,45,41,39
670,65,46,45,41,40
675,65,48,45,42,40
680,65,49,46,44,42
685,65,49,47,44,42
690,65,51,47,45,42
695,65,53,47,45,42
700,65,53,48,45,43
705,65,53,48,45,43
710,66,53,48,45,44
715,66,53,49,45,44
720,66,53,50,45,44
725,66,54,50,46,44
730,67,54,51,47,45
735,67,54,51,47,45
740,67,54,51,47,45
745,67,55,52,47,45
750,68,57,53,47,46
755,68,57,53,48,47
760,68,57,53,48,48
765,68,58,53,48,48
770,68,59,53,49,48
775,68,60,53,49,48
780,68,61,53,51,50
785,69,61,53,51,50
790,70,63,55,51,50
795,70,63,56,51,50
800,70,63,56,51,50
805,71,64,56,51,50
810,71,64,56,51,50
815,71,66,56,52,50
820,71,66,56,52,50
825,72,66,56,53,50
830,73,66,56,54,50
835,74,66,56,54,50
840,74,67,57,54,50
845,74,69,57,54,50
850,76,69,58,54,50
855,79,69,59,55,51
860,81,70,59,55,51
865,83,71,59,55,52
870,83,72,59,55,52
875,83,72,59,55,53
880,84,74,59,55,53
885,84,74,59,55,53
890,85,74,60,56,53
895,87,74,61,56,53
900,90,75,61,56,53
905,,75,62,57,53
910,,75,62,57,53
915,,75,62,58,55
920,,76,62,58,55
930,,76,64,59,56
935,,76,64,59,57
940,,78,65,59,57
945,,78,65,59,57
950,,79,65,59,57
955,,80,65,59,58
960,,81,65,59,59
965,,81,65,59,59
970,,81,66,59,59
975,,82,66,61,59
980,,83,67,62,59
985,,84,67,63,59
990,,87,69,63,59
995,,88,70,65,59
1000,,88,70,65,59
1005,,88,70,66,59
1010,,88,70,66,59
1015,,88,70,66,59
1020,,88,71,66,59
1025,,89,73,66,59
1030,,90,73,66,60
1035,,92,73,67,60
1040,,93,73,67,60
1045,,93,74,67,60
1050,,95,74,68,60
1055,,95,76,69,61
1060,,96,78,69,61
1065,,97,79,69,62
1070,,98,80,69,63
1075,,98,80,69,63
1080,,99,81,70,64
1085,,99,82,70,64
1090,,100,83,71,64
1095,,100,84,71,64
1100,,104,84,71,65
1105,,104,84,71,65
1110,,104,84,71,66
1115,,104,85,71,67
1120,,104,85,71,68
1125,,106,87,71,69
1130,,107,88,73,69
1135,,109,88,73,70
1140,,111,88,73,70
1145,,113,89,74,71
1150,,114,90,74,71
1155,,115,91,74,71
1160,,116,91,75,71
1165,,118,91,76,71
1170,,118,91,76,71
1175,,121,91,77,71
1180,,121,91,78,72
1185,,123,93,79,73
1190,,124,95,79,73
1195,,125,95,80,73
1200,,126,95,80,73
1205,,126,97,80,73
1210,,127,97,80,73
1215,,127,97,80,73
1220,,128,97,80,73
1225,,128,97,81,73
1230,,130,97,81,73
1235,,130,98,81,73
1240,,130,100,81,75
1245,,133,100,81,75
1250,,135,101,81,77
1255,,135,101,83,79
1260,,135,103,83,79
1265,,137,103,83,79
1270,,137,103,84,79
1275,,139,103,84,79
1280,,139,103,85,79
1285,,140,103,85,80
1290,,141,103,85,81
1295,,142,104,87,82
1300,,145,106,88,82
1305,,146,106,88,84
1310,,148,106,88,84
1315,,150,107,88,86
1320,,152,108,88,86
1325,,153,108,88,86
1330,,154,108,89,87
1335,,154,108,89,87
1340,,156,109,91,87
1345,,156,110,91,87
1350,,156,110,91,87
1355,,156,110,91,89
1360,,156,110,92,90
1365,,156,110,92,90
1370,,156,111,93,90
1375,,156,112,93,91
1380,,156,112,95,91
1385,,157,112,96,91
1390,,157,113,98,91
1395,,158,113,98,93
1400,,158,113,99,93
1405,,158,113,99,93
1410,,158,114,101,95
1415,,159,114,101,95
1420,,159,114,101,98
1425,,159,114,101,98
1430,,159,114,101,98
1435,,160,116,101,98
1440,,160,116,102,98
1445,,160,117,102,98
1450,,160,118,103,98
1455,,160,119,103,98
1460,,160,119,104,98
1465,,160,119,105,98
1480,,160,119,108,98
1485,,161,119,108,99
1490,,161,119,108,99
1495,,162,120,108,100
1500,,162,120,108,100
1505,,162,121,109,100
1510,,165,121,109,100
1520,,167,122,109,100
1525,,171,124,110,101
1530,,172,126,112,101
1535,,173,126,113,101
1540,,174,126,113,103
1545,,174,126,113,104
1550,,176,128,113,104
1555,,,129,113,104
1560,,,129,114,105
1565,,,129,115,106
1570,,,130,115,108
1575,,,131,115,108
1580,,,131,115,108
1585,,,132,116,108
1590,,,134,116,108
1595,,,135,116,110
1600,,,136,116,110
1605,,,136,116,110
1610,,,137,116,110
1615,,,137,117,110
1620,,,138,118,110
1625,,,141,119,111
1630,,,142,122,111
1635,,,142,122,111
1640,,,143,122,111
1645,,,143,122,113
1650,,,145,122,114
1655,,,146,122,116
1660,,,147,122,116
1665,,,147,125,116
1670,,,147,125,117
1675,,,147,125,117
1680,,,148,125,118
1685,,,149,126,122
1690,,,149,126,123
1695,,,151,126,123
1700,,,151,127,123
1705,,,151,129,124
1710,,,152,129,126
1715,,,152,130,126
1720,,,152,132,126
1725,,,154,132,126
1730,,,154,133,127
1735,,,154,133,128
1740,,,155,134,128
1745,,,155,134,128
1750,,,155,134,128
1755,,,156,135,128
1760,,,157,135,129
1765,,,158,135,131
1770,,,158,135,131
1775,,,158,135,131
1780,,,158,136,132
1785,,,159,136,132
1790,,,159,137,132
1795,,,161,137,133
1800,,,161,137,134
1805,,,161,138,134
1810,,,161,138,134
1815,,,161,140,134
1820,,,161,140,134
1825,,,164,140,135
1830,,,165,140,136
1835,,,166,140,137
1840,,,166,140,138
1845,,,167,140,138
1850,,,167,142,139
1855,,,169,143,140
1860,,,169,144,140
1865,,,171,144,141
1870,,,171,145,141
1875,,,173,145,141
1880,,,174,146,141
1885,,,175,146,143
1890,,,177,147,144
1895,,,179,148,144
1900,,,179,148,144
1905,,,180,149,145
1910,,,184,149,146
1915,,,185,151,146
1920,,,185,151,146
1925,,,186,152,146
1930,,,187,153,146
1935,,,189,154,146
1940,,,190,154,147
1945,,,191,155,147
1950,,,192,156,147
1955,,,193,156,147
1960,,,193,157,147
1965,,,193,157,147
1970,,,193,157,147
1975,,,193,158,147
1980,,,195,158,148
1985,,,195,158,149
1990,,,195,158,149
1995,,,195,159,149
2000,,,197,159,149
2005,,,198,159,149
2010,,,200,160,150
2015,,,204,160,150
2020,,,205,162,152
2025,,,205,162,154
2030,,,205,162,156
2035,,,206,162,157
2040,,,210,163,158
2045,,,214,164,158
2050,,,216,164,158
2055,,,218,164,159
2060,,,220,164,160
2065,,,220,165,160
2070,,,221,168,160
2075,,,223,169,160
2080,,,223,170,161
2085,,,225,171,161
2090,,,226,172,161
2095,,,226,173,162
2100,,,227,173,162
2105,,,227,174,162
2110,,,227,174,162
2115,,,229,176,162
2120,,,232,177,162
2125,,,232,177,162
2130,,,233,178,162
2135,,,235,179,163
2140,,,237,179,163
2145,,,241,180,164
2150,,,242,180,164
2155,,,243,181,165
2160,,,244,181,167
2165,,,244,181,167
2170,,,245,183,168
2175,,,245,183,168
2180,,,245,185,168
2185,,,245,186,168
2190,,,246,188,169
2195,,,246,189,170
2200,,,247,189,170
2205,,,247,189,171
2210,,,249,190,173
2215,,,249,190,175
2220,,,250,190,176
2225,,,250,191,176
2230,,,250,191,177
2235,,,250,193,177
2240,,,251,194,178
2245,,,252,194,178
2250,,,252,195,178
2255,,,255,196,180
2260,,,255,196,183
2265,,,257,196,183
2270,,,257,197,186
2280,,,259,197,187
2285,,,,198,188
2290,,,,198,189
2295,,,,199,189
2300,,,,201,190
2305,,,,203,190
2310,,,,205,191
2315,,,,206,191
2320,,,,206,192
2325,,,,209,192
2330,,,,209,192
2335,,,,210,192
2340,,,,210,192
2345,,,,211,192
2350,,,,213,192
2355,,,,213,192
2360,,,,213,192
2365,,,,214,193
2370,,,,215,194
2375,,,,216,194
2380,,,,217,195
2385,,,,217,196
2390,,,,219,196
2395,,,,223,197
2400,,,,225,197
2405,,,,226,197
2410,,,,229,199
2415,,,,231,199
2420,,,,233,199
2425,,,,234,201
2430,,,,235,202
2435,,,,236,202
2440,,,,239,202
2445,,,,242,202
2450,,,,242,202
2455,,,,243,202
2460,,,,243,202
2465,,,,245,202
2470,,,,247,202
2475,,,,248,206
2480,,,,250,208
2485,,,,250,208
2490,,,,250,210
2495,,,,252,211
2500,,,,253,211
2505,,,,253,212
2510,,,,254,212
2515,,,,255,212
2520,,,,255,213
2525,,,,255,215
2530,,,,255,215
2535,,,,256,215
2540,,,,258,217
2545,,,,260,219
2550,,,,260,220
2555,,,,260,222
2560,,,,262,222
2565,,,,262,223
2570,,,,263,226
2575,,,,263,227
2580,,,,263,230
2585,,,,263,231
2590,,,,264,233
2595,,,,264,235
2600,,,,265,237
2605,,,,268,238
2610,,,,268,240
2615,,,,269,240
2620,,,,270,242
2625,,,,271,243
2630,,,,275,243
2635,,,,277,243
2640,,,,278,243
2645,,,,279,245
2650,,,,284,245
2655,,,,284,246
2660,,,,286,247
2665,,,,287,249
2670,,,,287,250
2675,,,,289,252
2680,,,,291,253
2685,,,,292,254
2690,,,,294,254
2695,,,,295,255
2700,,,,296,256
2705,,,,298,258
2710,,,,298,259
2715,,,,298,260
2720,,,,299,260
2725,,,,299,262
2730,,,,299,263
2735,,,,300,264
2740,,,,301,264
2745,,,,302,265
2750,,,,302,267
2755,,,,302,268
2760,,,,302,269
2765,,,,302,271
2770,,,,302,271
2775,,,,302,272
2780,,,,302,273
2785,,,,302,273
2790,,,,303,274
2795,,,,303,277
2800,,,,304,278
2805,,,,305,279
2810,,,,305,282
2815,,,,305,283
2820,,,,306,283
2825,,,,306,283
2830,,,,307,284
2835,,,,308,284
2840,,,,309,285
2845,,,,309,288
2850,,,,309,290
2855,,,,309,291
2860,,,,310,291
2865,,,,311,294
2870,,,,311,296
2875,,,,311,297
2880,,,,312,299
2885,,,,314,299
2890,,,,314,299
2895,,,,315,299
2900,,,,316,299
2905,,,,317,301
2910,,,,320,304
2915,,,,320,304
2920,,,,320,305
2925,,,,320,305
2930,,,,321,305
2935,,,,321,308
2940,,,,323,308
2945,,,,327,308
2950,,,,,310
2955,,,,,310
2960,,,,,313
2965,,,,,317
2970,,,,,319
2975,,,,,322
2980,,,,,325
2985,,,,,326
2990,,,,,326
2995,,,,,326
3000,,,,,328
3005,,,,,330
3010,,,,,330
3015,,,,,330
3020,,,,,331
3025,,,,,331
3030,,,,,334
3035,,,,,334
3040,,,,,334
3045,,,,,335
3050,,,,,335
3055,,,,,335
3060,,,,,336
3065,,,,,336
3070,,,,,336
3075,,,,,336
3080,,,,,336
3085,,,,,336
3090,,,,,336
3095,,,,,336
3100,,,,,336
3105,,,,,336
3110,,,,,336
3115,,,,,336
3120,,,,,336
3125,,,,,337
3130,,,,,337
3135,,,,,337
3140,,,,,338
3145,,,,,338
3150,,,,,338
3155,,,,,339
3160,,,,,339
3165,,,,,339
3170,,,,,339
3175,,,,,341
3180,,,,,341
3185,,,,,342
3190,,,,,342
3195,,,,,342
3200,,,,,343
3205,,,,,343
3210,,,,,343
3215,,,,,343
3220,,,,,343
3225,,,,,344
3230,,,,,345
3235,,,,,346
3240,,,,,346
3245,,,,,346
3250,,,,,346
3255,,,,,346
3260,,,,,346
3265,,,,,347
3270,,,,,349
3275,,,,,350
3280,,,,,350
3285,,,,,350
3290,,,,,350
3295,,,,,350
3300,,,,,351
3305,,,,,352
3310,,,,,353
3315,,,,,354
3320,,,,,354
3325,,,,,355
3330,,,,,358
3335,,,,,359
3340,,,,,361
3345,,,,,363
3350,,,,,365
3355,,,,,365
3360,,,,,366
3365,,,,,367
3370,,,,,368
3375,,,,,368
3380,,,,,368
3385,,,,,370
3390,,,,,374
3395,,,,,375
3400,,,,,375
3405,,,,,375
